Время начала - чч:мм:сс.мс	Время окончания - чч:мм:сс.мс	Длительность - чч:мм:сс.мс	Интервьюер	Информант
00:02:48.970	00:02:51.290	00:00:02.320		что и как я в дальнейшем буду действовать,
00:02:51.290	00:02:54.350	00:00:03.060		если произойдет со мной подобная ситуация.
00:02:54.370	00:02:56.750	00:00:02.380		А-а, чем все закончилось? ...(1.0)
00:02:56.750	00:02:58.400	00:00:01.650		Просто люди не пришли, ...(0.7)
00:02:58.400	00:03:00.940	00:00:02.540		я им поставил отрицательную оценку |E|
00:03:00.950	00:03:01.770	00:00:00.820		одну звезду,
00:03:01.780	00:03:03.700	00:00:01.920		написал жалобу-у в техподдержку,
00:03:03.730	00:03:07.400	00:00:03.670		чтобы ...(0.3) потом с меня не с-снимали звезды и мою активность,
00:03:07.430	00:03:11.250	00:00:03.820		за то что я ...(0.4) видимо ...(0.4) не выполнил заказ по их мнению.
00:03:12.150	00:03:14.890	00:00:02.740		В принципе ...(0.3) такая история достаточно поучительная.
00:03:14.900	00:03:16.470	00:00:01.570		Хочется просто всем людям сказать,
00:03:16.490	00:03:18.940	00:00:02.450		если у вас ...(0.2) будет намерение кинуть таксиста,
00:03:18.940	00:03:20.160	00:00:01.220		то знайте, ...(1.0)
00:03:20.180	00:03:23.120	00:00:02.940		есть а(0.2) люди ...(0.8) мстительные,
00:03:23.120	00:03:26.600	00:00:03.480		и-и все ...(0.2) номера ваших телефонов у нас тоже есть,
00:03:26.620	00:03:27.680	00:00:01.060		и координаты |ES|
00:03:27.700	00:03:30.920	00:00:03.220		Так что ...(0.4) найдем {ВЗДОХ} и накажем.
00:03:30.940	00:03:31.850	00:00:00.910	Угу.	
00:03:31.910	00:03:32.490	00:00:00.580		{СМЕЁТСЯ} Всё.
00:03:32.520	00:03:33.980	00:00:01.460	А(0.2) вопрос.	
00:03:34.010	00:03:34.790	00:00:00.780		Вопрос.
00:03:34.950	00:03:38.230	00:00:03.280	А(0.2) сколько было лет а примерно этим людям?	
00:03:38.280	00:03:40.520	00:00:02.240		На самом деле, ...(0.4)
00:03:40.530	00:03:43.040	00:00:02.510		ну возраста конкретного я их конечно же не знаю,
00:03:43.053	00:03:49.132	00:00:06.079		но ...(0.4) на вид ...(0.5) а(0.2) от двадцати до двадцати трёх скорее всего |E|
00:03:49.158	00:03:50.105	00:00:00.947		то есть ну молодые,
00:03:50.132	00:03:51.382	00:00:01.250		даже немного старше меня.
00:03:51.421	00:03:52.026	00:00:00.605	Угу.	
00:03:52.079	00:03:53.237	00:00:01.158		Ну по виду да,
00:03:53.276	00:03:55.750	00:00:02.474		просто молодые лю= молодая пара так сказать.
00:03:55.776	00:03:56.487	00:00:00.711	Угу.	
00:03:56.526	00:03:57.329	00:00:00.803	Так хорошо.	
00:03:57.382	00:03:59.408	00:00:02.026	А(0.2) это происходило в дневное или в вечернее время?	
00:03:59.421	00:04:00.579	00:00:01.158		Это ночь была |E|
00:04:00.750	00:04:01.618	00:00:00.868		м(0.1) пол третьего ночи.
00:04:01.618	00:04:02.618	00:00:01.000	Полтретьего ночи.	
00:04:02.658	00:04:02.934	00:00:00.276	Ага.	
00:04:02.829	00:04:03.171	00:00:00.342		Угу.
00:04:03.197	00:04:04.382	00:00:01.185	И последний вопрос:	
00:04:04.408	00:04:07.329	00:00:02.921	а(0.3) то есть паовербанк теперь у вас?	
00:04:07.355	00:04:10.566	00:00:03.211		А {СМЕЁТСЯ} история не до конца раскрыта с павербанком.
00:04:10.579	00:04:12.342	00:00:01.763		О= он оказался нерабочим.
00:04:12.355	00:04:15.461	00:00:03.106		То етсь это достаточно подготовленные афферисты были.
00:04:15.447	00:04:17.711	00:00:02.264	{НРЗБ}	
00:04:17.711	00:04:18.671	00:00:00.960	Спасибо большое.	
00:04:18.632	00:04:20.092	00:00:01.460		{СМЕЁТСЯ}
00:04:20.105	00:04:21.395	00:00:01.290	Отлично!	

